word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
filosofie|NOUN	B1	8.0	stratum_2
adviseur|NOUN	B1	7.0	stratum_2
grondslag|NOUN	B1	5.0	stratum_3
biljart|NOUN	B1	5.0	stratum_3
zeeniveau|NOUN	B1	4.0	stratum_4
inspiratie|NOUN	B1	4.0	stratum_4
reglement|NOUN	B1	3.0	stratum_5
hengel|NOUN	B1	3.0	stratum_5
bariton|NOUN	B1	2.0	stratum_6
webcam|NOUN	B1	3.0	stratum_6
gymles|NOUN	B1	2.0	stratum_7
doorbraak|NOUN	B1	2.0	stratum_7
liaan|NOUN	B1	2.0	stratum_8
metrostation|NOUN	B1	2.0	stratum_8
verengelsing|NOUN	B1	2.0	stratum_9
staatspensioen|NOUN	B1	2.0	stratum_9
bewustmakingscampagne|NOUN	B1	1.0	stratum_10
aankondiging|NOUN	B1	1.0	stratum_10
vervangen|VERB	B1	12.0	stratum_1
behalen|VERB	B1	9.0	stratum_1
respecteren|VERB	B1	7.0	stratum_2
streven|VERB	B1	7.0	stratum_2
vaststellen|VERB	B1	6.0	stratum_3
noteren|VERB	B1	6.0	stratum_3
bederven|VERB	B1	4.0	stratum_4
voltooien|VERB	B1	5.0	stratum_4
voorafgaan|VERB	B1	4.0	stratum_5
struikelen|VERB	B1	4.0	stratum_5
overschrijven|VERB	B1	3.0	stratum_6
bowlen|VERB	B1	3.0	stratum_6
verbruiken|VERB	B1	3.0	stratum_7
aanleveren|VERB	B1	2.0	stratum_7
bulderen|VERB	B1	2.0	stratum_8
binnenkrijgen|VERB	B1	2.0	stratum_8
doorweken|VERB	B1	2.0	stratum_9
langsgaan|VERB	B1	2.0	stratum_9
opstappen|VERB	B1	2.0	stratum_10
meekrijgen|VERB	B1	2.0	stratum_10
aanbedene|NOUN	B2	3.0	stratum_1
sportheld|NOUN	B2	5.0	stratum_1
aanhang|NOUN	B2	2.0	stratum_2
proefpersoon|NOUN	B2	3.0	stratum_2
bemiddelaar|NOUN	B2	2.0	stratum_3
entourage|NOUN	B2	2.0	stratum_3
middenweg|NOUN	B2	2.0	stratum_4
parket|NOUN	B2	2.0	stratum_4
admiraal|NOUN	B2	1.0	stratum_5
accolade|NOUN	B2	1.0	stratum_5
avonduur|NOUN	B2	1.0	stratum_6
bedrijfsverzamelgebouw|NOUN	B2	1.0	stratum_6
bewind|NOUN	B2	1.0	stratum_7
blunder|NOUN	B2	1.0	stratum_7
computerforum|NOUN	B2	1.0	stratum_8
dienstensector|NOUN	B2	1.0	stratum_8
extase|NOUN	B2	1.0	stratum_9
fietsstad|NOUN	B2	1.0	stratum_9
gesport|NOUN	B2	1.0	stratum_10
halfgod|NOUN	B2	1.0	stratum_10
kapen|VERB	B2	3.0	stratum_1
beletten|VERB	B2	3.0	stratum_1
bemannen|VERB	B2	2.0	stratum_2
aanvoelen|VERB	B2	2.0	stratum_2
dwepen|VERB	B2	2.0	stratum_3
dichtslibben|VERB	B2	2.0	stratum_3
waarborgen|VERB	B2	2.0	stratum_4
verteren|VERB	B2	2.0	stratum_4
afblazen|VERB	B2	1.0	stratum_5
aanreiken|VERB	B2	1.0	stratum_5
behelpen|VERB	B2	1.0	stratum_6
bevoorrechten|VERB	B2	1.0	stratum_6
bijvoegen|VERB	B2	1.0	stratum_7
deponeren|VERB	B2	1.0	stratum_7
dicteren|VERB	B2	1.0	stratum_8
doordrukken|VERB	B2	1.0	stratum_8
handtekenen|VERB	B2	1.0	stratum_9
gewichtheffen|VERB	B2	1.0	stratum_9
klaren|VERB	B2	1.0	stratum_10
interpelleren|VERB	B2	1.0	stratum_10
rijgedrag|NOUN	C1	3.0	stratum_1
uitvinding|NOUN	C1	3.0	stratum_1
parasol|NOUN	C1	2.0	stratum_2
herverdeling|NOUN	C1	2.0	stratum_2
wereldorde|NOUN	C1	2.0	stratum_3
schadeclaim|NOUN	C1	2.0	stratum_3
alleenrecht|NOUN	C1	1.0	stratum_4
afvoerbuis|NOUN	C1	1.0	stratum_4
bedrijfswereld|NOUN	C1	1.0	stratum_5
biodiversiteit|NOUN	C1	1.0	stratum_5
complicatie|NOUN	C1	1.0	stratum_6
computersatelliet|NOUN	C1	1.0	stratum_6
discretie|NOUN	C1	1.0	stratum_7
drughandelaar|NOUN	C1	1.0	stratum_7
futuroloog|NOUN	C1	1.0	stratum_8
geldkoffer|NOUN	C1	1.0	stratum_8
informatica|NOUN	C1	1.0	stratum_9
graffitikunstenaar|NOUN	C1	1.0	stratum_9
koopgedrag|NOUN	C1	1.0	stratum_10
integriteit|NOUN	C1	1.0	stratum_10
hergebruiken|VERB	C1	2.0	stratum_1
manipuleren|VERB	C1	3.0	stratum_1
offeren|VERB	C1	2.0	stratum_2
ontfutselen|VERB	C1	2.0	stratum_2
afschilderen|VERB	C1	1.0	stratum_3
aanwenden|VERB	C1	1.0	stratum_3
assisteren|VERB	C1	1.0	stratum_4
baren|VERB	C1	1.0	stratum_4
bestraffen|VERB	C1	1.0	stratum_5
bedelven|VERB	C1	1.0	stratum_5
binnenvallen|VERB	C1	1.0	stratum_6
fokken|VERB	C1	1.0	stratum_6
herverdelen|VERB	C1	1.0	stratum_7
glippen|VERB	C1	1.0	stratum_7
lozen|VERB	C1	1.0	stratum_8
kiepen|VERB	C1	1.0	stratum_8
motoriseren|VERB	C1	1.0	stratum_9
meepikken|VERB	C1	1.0	stratum_9
ondermijnen|VERB	C1	1.0	stratum_10
nijpen|VERB	C1	1.0	stratum_10
